NQUEST,ASS2NEW1,ASS2NEW2,ASS2NEW3,ASS2NEW4,ASS2NEW5,ASS2NEW6,ASS1NEW1,ASS1NEW2,ASS1NEW3,ASS1NEW4,ASS1NEW5,ASS1NEW6,ASS4,ASS4S,ASS31,ASS3S1,ASS32,ASS3S2,ASS33,ASS3S3,DOCSEZF
686866,2,2,2,2,,,2,2,2,2,,,2,,1,1800,2,,2,,2
686913,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
687007,2,,,,,,2,,,,,,2,,2,,1,200,2,,2
687018,,,,,,,2,,,,,,2,,2,,2,,2,,2
687022,1,2,,,,,2,2,,,,,2,,1,750,2,,2,,2
687039,2,,,,,,2,,,,,,2,,2,,2,,2,,2
687056,,,,,,,2,,,,,,2,,1,450,2,,2,,2
687070,,2,,,,,2,2,,,,,2,,1,1100,2,,2,,2
687157,2,,,,,,2,,,,,,2,,2,,2,,2,,2
687164,,2,,,,,2,2,,,,,2,,1,350,2,,2,,2
687250,,,,,,,2,2,,,,,2,,1,500,1,700,2,,2
687287,2,2,2,,,,2,2,2,2,,,2,,1,600,2,,2,,2
687291,2,,,,,,2,2,,,,,2,,1,350,2,,2,,2
687304,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
687321,2,2,,,,,2,2,2,2,,,1,120,1,550,2,,2,,2
687328,,,,,,,2,,,,,,2,,2,,2,,2,,2
687404,,,,,,,2,2,,,,,2,,1,700,1,1000,2,,2
687685,2,,,,,,2,,,,,,2,,2,,2,,2,,2
687699,2,2,2,,,,2,2,2,,,,2,,1,600,2,,2,,1
687849,2,2,,,,,2,2,,,,,2,,1,800,2,,2,,2
687892,,,,,,,2,,,,,,2,,2,,2,,2,,2
687934,2,2,2,2,,,2,2,2,2,2,2,2,,1,300,2,,2,,2
687938,2,2,2,2,2,,2,2,2,2,2,,2,,2,,2,,2,,2
687971,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
687987,2,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,2
687990,,,,,,,2,2,,,,,2,,1,320,1,350,2,,2
688123,,,,,,,2,2,,,,,2,,1,350,2,,2,,2
688194,,,,,,,2,2,,,,,1,400,1,350,1,350,2,,1
688250,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
688264,2,2,2,2,,,1,1,2,2,,,2,,1,500,2,,2,,2
688277,2,2,,,,,2,2,,,,,2,,1,2500,2,,2,,2
700037,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
700729,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
700740,2,2,2,2,2,,2,2,2,2,2,,2,,1,400,2,,2,,2
701240,2,2,2,,,,2,2,2,,,,2,,1,450,2,,1,1000,2
701579,,,,,,,2,2,,,,,1,1300,1,300,2,,2,,2
702643,2,2,,,,,2,2,2,,,,2,,1,1100,2,,2,,2
703258,,,,,,,2,2,,,,,2,,1,260,2,,2,,2
703830,,,,,,,2,2,,,,,2,,1,600,2,,2,,2
704702,2,,,,,,2,,,,,,2,,2,,2,,2,,2
